************************************************************************************************
*                                                                                              *
* INSERTION LIST REPORT                                                                        *
*                                                                                              *
* C:\DOCUMENTS AND SETTINGS\ADMINISTRATOR\DOCUMENTI\LAVORI_ORCAD\CLIENTI_MARCO\BAT_V0\BAT.MAX  *
* Tue Jul 07 12:49:09 2015                                                                     *
*                                                                                              *
************************************************************************************************

REF DES    VALUE            FOOTPRINT                      XCOORD       YCOORD       ROTATION BOARDSIDE    
-----------------------------------------------------------------------------------------------------------
305                         FORO 3.2 MM                     892.52 m     2021.56 m   0        TOP                       
R94        4K7              0402                            1144.00 m    2560.00 m   180      TOP                       
R95        4K7              0402                            1144.00 m    2624.00 m   180      TOP                       
R96        4K7              0402                            1144.00 m    2688.00 m   180      TOP                       
R97        4K7              0402                            1144.00 m    2752.00 m   180      TOP                       
RS1        0R002            1224-KELVIN                     3496.00 m    1776.00 m   90       TOP                       
RS2        0R010            1224-KELVIN                     1280.00 m    2024.00 m   270      BOTTOM                    
RS3        0R010            1224-KELVIN                     3520.00 m    2016.00 m   90       BOTTOM                    
TP1        SMOX/060/B1 GOLD TP-SMOX060B1LP                  712.00 m     2096.00 m   0        TOP                       
TP2        SMOX/060/B1 GOLD TP-SMOX060B1LP                  1496.00 m    104.00 m    0        TOP                       
TP3        SMOX/060/B1 GOLD TP-SMOX060B1LP                  1632.00 m    104.00 m    0        TOP                       
TP4        SMOX/060/B1 GOLD TP-SMOX060B1LP                  1560.00 m    224.00 m    0        TOP                       
TP5        SMOX/060/B1 GOLD TP-1206                         168.00 m     1944.00 m   180      TOP                       
TP6        SMOX/060/B1 GOLD TP-SMOX060B1LP                  4536.00 m    1824.00 m   0        TOP                       
TP7        SMOX/060/B1 GOLD TP-SMOX060B1LP                  4632.00 m    1920.00 m   0        TOP                       
U1         STM32F407VGT6    LQFP-100 16X16MM_UCS            1260.40 m    1512.40 m   0        TOP                       
U2         AT24C1024B-TH2.. TSSOP8                          482.00 m     1677.00 m   270      TOP                       
U3         MAX3051          SOT23-8                         416.00 m     872.00 m    180      BOTTOM                    
U4         RN4020-V/RM      RN4020-V                        554.00 m     2154.00 m   45       TOP                       
U5         TXB0104          RGY S-PVQFN-N14                 1056.00 m    2432.00 m   0        TOP                       
U6         TPS2493PW        TSSOP14                         3944.00 m    1712.00 m   90       TOP                       
U7         LM5575MH         HTSSOP16                        3768.00 m    752.00 m    270      BOTTOM                    
U8         LM5575MH         HTSSOP16                        3696.00 m    344.00 m    270      BOTTOM                    
U9         ACS711           ACS711-EX                       2288.00 m    2424.00 m   180      BOTTOM                    
U10        LM5088           HTSSOP16                        1584.00 m    1840.00 m   90       BOTTOM                    
U11        ACS711           ACS711-EX                       2856.13 m    2424.00 m   180      BOTTOM                    
U12        LM5088           HTSSOP16                        3376.00 m    1656.00 m   270      BOTTOM                    
U13        LM5050-1         SOT23-6_LOGEL                   3292.00 m    768.00 m    90       TOP                       
U14        LM5050-1         SOT23-6_LOGEL                   1447.50 m    845.50 m    270      TOP                       
Y1         S23305-50.000-X  S2                              1328.00 m    1032.00 m   90       TOP                       
